,volume_sales,title_names,author_names,publisher
37,"<td class=""left"" id=""table-cell-10943-37-3"" style=""color: #000000""> 1,310,176 </td>","<td class=""left"" id=""table-cell-10943-37-1"" style=""color: #000000""> Life of Pi </td>","<td class=""left"" id=""table-cell-10943-37-2"" style=""color: #000000""> Martel, Yann </td>","<td class=""left"" id=""table-cell-10943-37-4"" style=""color: #000000""> Canongate </td>"
38,"<td class=""left"" id=""table-cell-10943-38-3"" style=""color: #000000""> 1,231,957 </td>","<td class=""left"" id=""table-cell-10943-38-1"" style=""color: #000000""> Billy Connolly </td>","<td class=""left"" id=""table-cell-10943-38-2"" style=""color: #000000""> Stephenson, Pamela </td>","<td class=""left"" id=""table-cell-10943-38-4"" style=""color: #000000""> HarperCollins </td>"
39,"<td class=""left"" id=""table-cell-10943-39-3"" style=""color: #000000""> 1,217,712 </td>","<td class=""left"" id=""table-cell-10943-39-1"" style=""color: #000000""> Child Called It,A </td>","<td class=""left"" id=""table-cell-10943-39-2"" style=""color: #000000""> Pelzer, Dave </td>","<td class=""left"" id=""table-cell-10943-39-4"" style=""color: #000000""> Orion </td>"
40,"<td class=""left"" id=""table-cell-10943-40-3"" style=""color: #000000""> 1,208,711 </td>","<td class=""left"" id=""table-cell-10943-40-1"" style=""color: #000000""> Gruffalo's Child,The </td>","<td class=""left"" id=""table-cell-10943-40-2"" style=""color: #000000""> Donaldson, Julia </td>","<td class=""left"" id=""table-cell-10943-40-4"" style=""color: #000000""> Pan Macmillan </td>"
41,"<td class=""left"" id=""table-cell-10943-41-3"" style=""color: #000000""> 1,204,058 </td>","<td class=""left"" id=""table-cell-10943-41-1"" style=""color: #000000""> Angela's Ashes:A Memoir of a Childhood </td>","<td class=""left"" id=""table-cell-10943-41-2"" style=""color: #000000""> McCourt, Frank </td>","<td class=""left"" id=""table-cell-10943-41-4"" style=""color: #000000""> HarperCollins </td>"
42,"<td class=""left"" id=""table-cell-10943-42-3"" style=""color: #000000""> 1,184,967 </td>","<td class=""left"" id=""table-cell-10943-42-1"" style=""color: #000000""> Birdsong </td>","<td class=""left"" id=""table-cell-10943-42-2"" style=""color: #000000""> Faulks, Sebastian </td>","<td class=""left"" id=""table-cell-10943-42-4"" style=""color: #000000""> Random House </td>"
43,"<td class=""left"" id=""table-cell-10943-43-3"" style=""color: #000000""> 1,181,503 </td>","<td class=""left"" id=""table-cell-10943-43-1"" style=""color: #000000""> Northern Lights:His Dark Materials S. </td>","<td class=""left"" id=""table-cell-10943-43-2"" style=""color: #000000""> Pullman, Philip </td>","<td class=""left"" id=""table-cell-10943-43-4"" style=""color: #000000""> Scholastic Ltd. </td>"
44,"<td class=""left"" id=""table-cell-10943-44-3"" style=""color: #000000""> 1,181,093 </td>","<td class=""left"" id=""table-cell-10943-44-1"" style=""color: #000000""> Labyrinth </td>","<td class=""left"" id=""table-cell-10943-44-2"" style=""color: #000000""> Mosse, Kate </td>","<td class=""left"" id=""table-cell-10943-44-4"" style=""color: #000000""> Orion </td>"
45,"<td class=""left"" id=""table-cell-10943-45-3"" style=""color: #000000""> 1,153,181 </td>","<td class=""left"" id=""table-cell-10943-45-1"" style=""color: #000000""> Harry Potter and the Half-blood Prince </td>","<td class=""left"" id=""table-cell-10943-45-2"" style=""color: #000000""> Rowling, J.K. </td>","<td class=""left"" id=""table-cell-10943-45-4"" style=""color: #000000""> Bloomsbury </td>"
46,"<td class=""left"" id=""table-cell-10943-46-3"" style=""color: #000000""> 1,132,336 </td>","<td class=""left"" id=""table-cell-10943-46-1"" style=""color: #000000""> Help,The </td>","<td class=""left"" id=""table-cell-10943-46-2"" style=""color: #000000""> Stockett, Kathryn </td>","<td class=""left"" id=""table-cell-10943-46-4"" style=""color: #000000""> Penguin </td>"
